,casting_time,components,description,duration,evocation_level,range,spell_name
10, 1 action," v, s, m (a pinch of powdered iron or iron filings)","a 10 foot radius invisible ref`srdsphere` of antimagic surrounds you. this areais divorced from the magical energy that suffuses the multiverse. withinthe ref`srdsphere`, spells can't be cast, summoned creatures disappear, and evenmagic items become mundane. until the spell ends, the ref`srdsphere` moves withyou, centered on you.spells and other magical effects, except those created by an artifact ora deity, are suppressed in the ref`srdsphere` and can't protrude into it. a slotexpended to cast a suppressed spell is consumed. while an effect issuppressed, it doesn't function, but the time it spends suppressedcounts against its duration."," concentration, up to 1 hour",8thlevel abjuration, self (10 foot radius ref`srdsphere`),antimagic field
11, 1 hour," v, s, m (either a lump of alum soaked in vinegar for theantipathy effect or a drop of honey for the sympathy effect)","this spell attracts or repels creatures of your choice. you targetsomething within range, either a huge or smaller object or creature oran area that is no larger than a 200 foot ref`srdcube`. then specify a kind ofintelligent creature, such as red dragons, goblins, or vampires. youinvest the target with an aura that either attracts or repels thespecified creatures for the duration. choose antipathy or sympathy asthe aura's effect.", 10 days,8thlevel enchantment, 60 feet,antipathy/sympathy
12, 1 action," v, s, m (a bit of bat fur)","you create an invisible, magical eye within range that hovers in the airfor the duration.you mentally receive visual information from the eye, which has normalvision and darkvision out to 30 feet. the eye can look in everydirection.as an action, you can move the eye up to 30 feet in any direction. thereis no limit to how far away from you the eye can move, but it can'tenter another plane of existence. a solid barrier blocks the eye'smovement, but the eye can pass through an opening as small as 1 inch indiameter."," concentration, up to 1 hour",4thlevel divination, 30 feet,arcane eye
13, 1 action," v, s, m (an eggshell and a snakeskin glove)","you create a large hand of shimmering, translucent force in anunoccupied space that you can see within range. the hand lasts for thespell's duration, and it moves at your command, mimicking the movementsof your own hand.the hand is an object that has ac 20 and hit points equal to your hitpoint maximum. if it drops to 0 hit points, the spell ends. it has astrength of 26 (+8) and a dexterity of 10 (+0). the hand doesn't fillits space.when you cast the spell and as a bonus action on your subsequent turns,you can move the hand up to 60 feet and then cause one of the followingeffects with it."," concentration, up to 1 minute",5thlevel evocation, 120 feet,arcane hand
14, 1 action," v, s, m (gold dust worth at least 25 gp, which the spellconsumes)","you touch a closed door, window, gate, chest, or other entryway, and itbecomes locked for the duration. you and the creatures you designatewhen you cast this spell can open the object normally. you can also seta password that, when spoken within 5 feet of the object, suppressesthis spell for 1 minute. otherwise, it is impassable until it is brokenor the spell is dispelled or suppressed. casting knock on the objectsuppresses arcane lock for 10 minutes.while affected by this spell, the object is more difficult to break orforce open; the dc to break it or pick any locks on it increases by 10.", until dispelled,2ndlevel abjuration, touch,arcane lock
15, 1 action," v, s, m (a miniature platinum sword with a grip andpommel of copper and zinc, worth 250 gp)","you create a sword shaped plane of force that hovers within range. itlasts for the duration.when the sword appears, you make a melee spell attack against a targetof your choice within 5 feet of the sword. on a hit, the target takes3d10 force damage. until the spell ends, you can use a bonus action oneach of your turns to move the sword up to 20 feet to a spot you can seeand repeat this attack against the same target or a different one."," concentration, up to 1 minute",7thlevel evocation, 60 feet,arcane sword
16, 1 action," v, s, m (a small square of silk)","you place an illusion on a creature or an object you touch so thatdivination spells reveal false information about it. the target can be awilling creature or an object that isn't being carried or worn byanother creature.when you cast the spell, choose one or both of the following effects.the effect lasts for the duration. if you cast this spell on the samecreature or object every day for 30 days, placing the same effect on iteach time, the illusion lasts until it is dispelled.", 24 hours,2ndlevel illusion, touch,rcanist's magic aura
17, 1 hour," v, s, m (for each creature you affect with this spell,you must provide one jacinth worth at least 1,000 gp and one ornatelycarved bar of silver worth at least 100 gp, all of which the spellconsumes)","you and up to eight willing creatures within range project your astralbodies into the astral plane (the spell fails and the casting is wastedif you are already on that plane). the material body you leave behind isref`srdunconscious` and in a state of suspended animation; it doesn't need foodor air and doesn't age.your astral body resembles your mortal form in almost every way,replicating your game statistics and possessions. the principaldifference is the addition of a silvery cord that extends from betweenyour shoulder blades and trails behind you, fading to invisibility after1 foot. this cord is your tether to your material body. as long as thetether remains intact, you can find your way home. if the cord iscutsomething that can happen only when an effect specifically statesthat it doesyour soul and body are separated, killing you instantly.your astral form can freely travel through the astral plane and can passthrough portals there leading to any other plane. if you enter a newplane or return to the plane you were on when casting this spell, yourbody and possessions are transported along the silver cord, allowing youto re enter your body as you enter the new plane. your astral form is aseparate incarnation. any damage or other effects that apply to it haveno effect on your physical body, nor do they persist when you return toit.the spell ends for you and your companions when you use your action todismiss it. when the spell ends, the affected creature returns to itsphysical body, and it awakens.the spell might also end early for you or one of your companions. asuccessful dispel magic spell used against an astral or physical bodyends the spell for that creature. if a creature's original body or itsastral form drops to 0 hit points, the spell ends for that creature. ifthe spell ends and the silver cord is intact, the cord pulls thecreature's astral form back to its body, ending its state of suspendedanimation.if you are returned to your body prematurely, your companions remain intheir astral forms and must find their own way back to their bodies,usually by dropping to 0 hit points.", special,9thlevel necromancy, 10 feet,astral projection
18, 1 minute," v, s, m (specially marked sticks, bones, or similartokens worth at least 25 gp)","by casting gem inlaid sticks, rolling dragon bones, laying out ornatecards, or employing some other divining tool, you receive an omen froman otherworldly entity about the results of a specific course of actionthat you plan to take within the next 30 minutes. the gm chooses fromthe following possible omens  ", instantaneous,2ndlevel divination (ritual), self,augury
19, 8 hours," v, s, m (an agate worth at least 1,000 gp, which thespell consumes)","after spending the casting time tracing magical pathways within aprecious gemstone, you touch a huge or smaller beast or plant. thetarget must have either no intelligence score or an intelligence of 3 orless. the target gains an intelligence of 10. the target also gains theability to speak one language you know. if the target is a plant, itgains the ability to move its limbs, roots, vines, creepers, and soforth, and it gains senses similar to a human's. your gm choosesstatistics appropriate for the awakened plant, such as the statisticsfor the awakened shrub or the awakened tree.the awakened beast or plant is ref`srdcharmed` by you for 30 days or until youor your companions do anything harmful to it. when the ref`srdcharmed` conditionends, the awakened creature chooses whether to remain friendly to you,based on how you treated it while it was ref`srdcharmed`.", instantaneous,5thlevel transmutation, touch,awaken
20, 1 action," v, s, m (a drop of blood)","up to three creatures of your choice that you can see within range mustmake charisma saving throws. whenever a target that fails this savingthrow makes an attack roll or a saving throw before the spell ends, thetarget must roll a d4 and subtract the number rolled from the attackroll or saving throw."," concentration, up to 1 minute",1stlevel enchantment, 30 feet,bane
21, 1 action," v, s, m (an item distasteful to thetarget)","you attempt to send one creature that you can see within range toanother plane of existence. the target must succeed on a charisma savingthrow or be banished.if the target is native to the plane of existence you're on, you banishthe target to a harmless demiplane. while there, the target isref`srdincapacitated`. the target remains there until the spell ends, at whichpoint the target reappears in the space it left or in the nearestunoccupied space if that space is occupied.if the target is native to a different plane of existence than the oneyou're on, the target is banished with a faint popping noise, returningto its home plane. if the spell ends before 1 minute has passed, thetarget reappears in the space it left or in the nearest unoccupied spaceif that space is occupied. otherwise, the target doesn't return."," concentration, up to 1 minute",4thlevel abjuration, 60 feet,banishment
22, 1 action," v, s, m (a handful of oak bark)","you touch a willing creature. until the spell ends, the target's skinhas a rough, bark like appearance, and the target's ac can't be lessthan 16, regardless of what kind of armor it is wearing."," concentration, up to 1 hour",2ndlevel transmutation, touch,barkskin
23, 1 action," v, s","this spell bestows hope and vitality. choose any number of creatureswithin range. for the duration, each target has advantage on wisdomsaving throws and death saving throws, and regains the maximum number ofhit points possible from any healing."," concentration, up to 1 minute",3rdlevel abjuration, 30 feet,eacon of hope
24, 1 action," v, s","you touch a creature, and that creature must succeed on a wisdom savingthrow or become cursed for the duration of the spell. when you cast thisspell, choose the nature of the curse from the following optionschoose one ability score. while cursed, the target has disadvantage onability checks and saving throws made with that ability score.while cursed, the target has disadvantage on attack rolls against you.while cursed, the target must make a wisdom saving throw at the start ofeach of its turns. if it fails, it wastes its action that turn doingnothing.while the target is cursed, your attacks and spells deal an extra 1d8necrotic damage to the target.a remove curse spell ends this effect. at the gm's option, you maychoose an alternative curse effect, but it should be no more powerfulthan those described above. the gm has final say on such a curse'seffect."," concentration, up to 1 minute",3rdlevel necromancy, touch,bestow curse
25, 1 action," v, s, m (a piece of tentacle from a giant octopus or agiant squid)","squirming, ebony tentacles fill a 20 foot square on ground that you cansee within range. for the duration, these tentacles turn the ground inthe area into difficult terrain.when a creature enters the affected area for the first time on a turn orstarts its turn there, the creature must succeed on a dexterity savingthrow or take 3d6 bludgeoning damage and be ref`srdrestrained` by the tentaclesuntil the spell ends. a creature that starts its turn in the area and isalready ref`srdrestrained` by the tentacles takes 3d6 bludgeoning damage.a creature ref`srdrestrained` by the tentacles can use its action to make astrength or dexterity check (its choice) against your spell save dc. ona success, it frees itself."," concentration, up to 1 minute",4thlevel conjuration, 90 feet,black tentacles
26, 1 action," v, s","you create a vertical wall of whirling, razor sharp blades made ofmagical energy. the wall appears within range and lasts for theduration. you can make a straight wall up to 100 feet long, 20 feethigh, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20feet high, and 5 feet thick. the wall provides three quarters cover tocreatures behind it, and its space is difficult terrain.when a creature enters the wall's area for the first time on a turn orstarts its turn there, the creature must make a dexterity saving throw.on a failed save, the creature takes 6d10 slashing damage. on asuccessful save, the creature takes half as much damage."," concentration, up to 10 minutes",6thlevel evocation, 90 feet,blade barrier
27, 1 action," v, s, m (a sprinkling of holy water)","you bless up to three creatures of your choice within range. whenever atarget makes an attack roll or a saving throw before the spell ends, thetarget can roll a d4 and add the number rolled to the attack roll orsaving throw."," concentration, up to 1 minute",1stlevel enchantment, 30 feet,bless
28, 1 action," v, s","necromantic energy washes over a creature of your choice that you cansee within range, draining moisture and vitality from it. the targetmust make a constitution saving throw. the target takes 8d8 necroticdamage on a failed save, or half as much damage on a successful one.this spell has no effect on undead or constructs.if you target a plant creature or a magical plant, it makes the savingthrow with disadvantage, and the spell deals maximum damage to it.if you target a nonmagical plant that isn't a creature, such as a treeor shrub, it doesn't make a saving throw; it simply withers and dies.", instantaneous,4thlevel necromancy, 30 feet,blight
29, 1 action, v,"you can blind or deafen a foe. choose one creature that you can seewithin range to make a constitution saving throw. if it fails, thetarget is either ref`srdblinded` or ref`srddeafened` (your choice) for the duration. atthe end of each of its turns, the target can make a constitution savingthrow. on a success, the spell ends.", 1 minute,2ndlevel necromancy, 30 feet,blindness/deafness
30, 1 action," v, s","roll a d20 at the end of each of your turns for the duration of thespell. on a roll of 11 or higher, you vanish from your current plane ofexistence and appear in the ethereal plane (the spell fails and thecasting is wasted if you were already on that plane). at the start ofyour next turn, and when the spell ends if you are on the etherealplane, you return to an unoccupied space of your choice that you can seewithin 10 feet of the space you vanished from. if no unoccupied space isavailable within that range, you appear in the nearest unoccupied space(chosen at random if more than one space is equally near). you candismiss this spell as an action.while on the ethereal plane, you can see and hear the plane youoriginated from, which is cast in shades of gray, and you can't seeanything there more than 60 feet away. you can only affect and beaffected by other creatures on the ethereal plane. creatures that aren'tthere can't perceive you or interact with you, unless they have theability to do so.", 1 minute,3rdlevel transmutation, self,blink
31, 1 action, v,"your body becomes blurred, shifting and wavering to all who can see you.for the duration, any creature has disadvantage on attack rolls againstyou. an attacker is immune to this effect if it doesn't rely on sight,as with blindsight, or can see through illusions, as with truesight."," concentration, up to 1 minute",2ndlevel illusion, self,blur
32, 1 bonus action, v,"the next time you hit a creature with a weapon attack before this spell ends,the weapon gleams with astral radiance as you strike. the attack deals an extra2d6 radiant damage to the target, which becomes visible if it's invisible,and the target sheds dim light in a 5foot radius and can't become invisibleuntil the spell ends. at higher levels. when you cast this spell usinga spell slot of 3rd level or higher, the extra damage increases by 1d6for each slot level above 2nd."," concentration, up to 1 minute",2ndlevel evocation, self,branding smite
33, 1 action," instantaneousas you hold your hands with thumbs touching and fingers spread, a thinsheet of flames shoots forth from your outstretched fingertips. eachcreature in a 15 foot ref`srdcone` must make a dexterity saving throw. acreature takes 3d6 fire damage on a failed save, or half as much damageon a successful one.the fire ignites any flammable objects in the area that aren't beingworn or carried.",,at higher levels.,1stlevel evocation," self (15 foot ref`srdcone`)  v, s",burning hands
34, 1 action," v, s","a storm cloud appears in the shape of a ref`srdcylinder` that is 10 feet tallwith a 60 foot radius, centered on a point you can see 100 feet directlyabove you. the spell fails if you can't see a point in the air where thestorm cloud could appear (for example, if you are in a room that can'taccommodate the cloud).when you cast the spell, choose a point you can see within range. a boltof lightning flashes down from the cloud to that point. each creaturewithin 5 feet of that point must make a dexterity saving throw. acreature takes 3d10 lightning damage on a failed save, or half as muchdamage on a successful one. on each of your turns until the spell ends,you can use your action to call down lightning in this way again,targeting the same point or a different one.if you are outdoors in stormy conditions when you cast this spell, thespell gives you control over the existing storm instead of creating anew one. under such conditions, the spell's damage increases by 1d10."," concentration, up to 10 minutes",3rdlevel conjuration, 120 feet,call lightning
35, 1 action," v, s","you attempt to suppress strong emotions in a group of people. eachhumanoid in a 20 foot radius ref`srdsphere` centered on a point you choosewithin range must make a charisma saving throw; a creature can choose tofail this saving throw if it wishes. if a creature fails its savingthrow, choose one of the following two effects.you can suppress any effect causing a target to be ref`srdcharmed` orref`srdfrightened`. when this spell ends, any suppressed effect resumes,provided that its duration has not expired in the meantime.alternatively, you can make a target indifferent about creatures of yourchoice that it is hostile toward. this indifference ends if the targetis attacked or harmed by a spell or if it witnesses any of its friendsbeing harmed. when the spell ends, the creature becomes hostile again,unless the gm rules otherwise."," concentration, up to 1 minute",2ndlevel enchantment, 60 feet,calm emotions
36, 1 action," v, s, m (a bit of fur; a piece of amber, glass, or acrystal rod; and three silver pins)","you create a bolt of lightning that arcs toward a target of your choicethat you can see within range. three bolts then leap from that target toas many as three other targets, each of which must be within 30 feet ofthe first target. a target can be a creature or an object and can betargeted by only one of the bolts.a target must make a dexterity saving throw. the target takes 10d8lightning damage on a failed save, or half as much damage on asuccessful one.", instantaneous,6thlevel evocation, 150 feet,chain lightning
37, 1 action," v, s","you attempt to charm a humanoid you can see within range. it must make awisdom saving throw, and does so with advantage if you or yourcompanions are fighting it. if it fails the saving throw, it is ref`srdcharmed`by you until the spell ends or until you or your companions do anythingharmful to it. the ref`srdcharmed` creature regards you as a friendlyacquaintance. when the spell ends, the creature knows it was ref`srdcharmed` byyou.", 1 hour,1stlevel enchantment, 30 feet ,charm person
38, 1 action," v, s","you create a ghostly, skeletal hand in the space of a creature withinrange. make a ranged spell attack against the creature to assail it withthe chill of the grave. on a hit, the target takes 1d8 necrotic damage,and it can't regain hit points until the start of your next turn. untilthen, the hand clings to the target.if you hit an undead target, it also has disadvantage on attack rollsagainst you until the end of your next turn.this spell's damage increases by 1d8 when you reach 5th level (2d8),11th level (3d8), and 17th level (4d8).", 1 round,necromancy cantrip, 120 feet,chill touch
39, 1 action," v, s, m (the powder of a crushed black pearl worth atleast 500 gp)","a ref`srdsphere` of negative energy ripples out in a 60 foot radius ref`srdsphere` froma point within range. each creature in that area must make aconstitution saving throw. a target takes 8d6 necrotic damage on afailed save, or half as much damage on a successful one.", instantaneous,6thlevel necromancy, 150 feet,ircle of death
40, 10 minutes," v, s, m (a focus worth at least 100 gp, either a jeweledhorn for hearing or a glass eye for seeing)","you create an invisible sensor within range in a location familiar toyou (a place you have visited or seen before) or in an obvious locationthat is unfamiliar to you (such as behind a door, around a corner, or ina grove of trees). the sensor remains in place for the duration, and itcan't be attacked or otherwise interacted with.when you cast the spell, you choose seeing or hearing. you can use thechosen sense through the sensor as if you were in its space. as youraction, you can switch between seeing and hearing.a creature that can see the sensor (such as a creature benefiting fromsee invisibility or truesight) sees a luminous, intangible orb about thesize of your fist."," concentration, up to 10 minutes",3rdlevel divination, 1 mile,clairvoyance
41, 1 hour," v, s, m (a diamond worth at least 1,000 gp and at least1 cubic inch of flesh of the creature that is to be cloned, which thespell consumes, and a vessel worth at least 2,000 gp that has a sealablelid and is large enough to hold a medium creature, such as a huge urn,coffin, mud filled cyst in the ground, or crystal container filled withsalt water)","this spell grows an inert duplicate of a living creature as a safeguardagainst death. this clone forms inside a sealed vessel and grows to fullsize and maturity after 120 days; you can also choose to have the clonebe a younger version of the same creature. it remains inert and enduresindefinitely, as long as its vessel remains undisturbed.at any time after the clone matures, if the original creature dies, itssoul transfers to the clone, provided that the soul is free and willingto return.the clone is physically identical to the original and has the samepersonality, memories, and abilities, but none of the original'sequipment. the original creature's physical remains, if they stillexist, become inert and can't thereafter be restored to life, since thecreature's soul is elsewhere.", instantaneous,8thlevel necromancy, touch,clone
42, 1 action," v, s","you create a 20 foot radius ref`srdsphere` of poisonous, yellow green fogcentered on a point you choose within range. the fog spreads aroundcorners. it lasts for the duration or until strong wind disperses thefog, ending the spell. its area is heavily obscured.when a creature enters the spell's area for the first time on a turn orstarts its turn there, that creature must make a constitution savingthrow. the creature takes 5d8 poison damage on a failed save, or half asmuch damage on a successful one. creatures are affected even if theyhold their breath or don't need to breathe.the fog moves 10 feet away from you at the start of each of your turns,rolling along the surface of the ground. the vapors, being heavier thanair, sink to the lowest level of the land, even pouring down openings."," concentration, up to 10 minutes",5thlevel conjuration, 120 feet,cloudkill
43, 1 action," v, s, m (a pinch of powder or sand that is colored red,yellow, and blue)","a dazzling array of flashing, colored light springs from your hand. roll6d10; the total is how many hit points of creatures this spell caneffect. creatures in a 15 foot ref`srdcone` originating from you are affected inascending order of their current hit points (ignoring unconsciouscreatures and creatures that can't see).starting with the creature that has the lowest current hit points, eachcreature affected by this spell is ref`srdblinded` until the spell ends.subtract each creature's hit points from the total before moving on tothe creature with the next lowest hit points. a creature's hit pointsmust be equal to or less than the remaining total for that creature tobe affected.", 1 round,1stlevel illusion, self (15 foot ref`srdcone`),color spray
44, 1 action, v,"you speak a one word command to a creature you can see within range. thetarget must succeed on a wisdom saving throw or follow the command onits next turn. the spell has no effect if the target is undead, if itdoesn't understand your language, or if your command is directly harmfulto it.some typical commands and their effects follow. you might issue acommand other than one described here. if you do so, the gm determineshow the target behaves. if the target can't follow your command, thespell ends.", 1 round,1stlevel enchantment, 60 feet,command
45, 1 minute," v, s","you briefly become one with nature and gain knowledge of the surroundingterritory. in the outdoors, the spell gives you knowledge of the landwithin 3 miles of you. in caves and other natural underground settings,the radius is limited to 300 feet. the spell doesn't function wherenature has been replaced by construction, such as in dungeons and towns.you instantly gain knowledge of up to three facts of your choice aboutany of the following subjects as they relate to the area  terrain and bodies of water  prevalent plants, minerals, animals, or peoples  powerful celestials, fey, fiends, elementals, or undead  influence from other planes of existence  buildingsfor example, you could determine the location of powerful undead in thearea, the location of major sources of safe drinking water, and thelocation of any nearby towns.", instantaneous,5thlevel divination (ritual), self,ommune with nature
46, 1 minute," v, s, m (incense and a vial of holy or unholy water)","you contact your deity or a divine proxy and ask up to three questionsthat can be answered with a yes or no. you must ask your questionsbefore the spell ends. you receive a correct answer for each question.divine beings aren't necessarily omniscient, so you might receive""unclear"" as an answer if a question pertains to information that liesbeyond the deity's knowledge. in a case where a one word answer could bemisleading or contrary to the deity's interests, the gm might offer ashort phrase as an answer instead.if you cast the spell two or more times before finishing your next longrest, there is a cumulative 25 percent chance for each casting after thefirst that you get no answer. the gm makes this roll in secret.", 1 minute,5thlevel divination (ritual), self,commune
47, 1 action," v, s, m (a pinch of soot and salt)","for the duration, you understand the literal meaning of any spokenlanguage that you hear. you also understand any written language thatyou see, but you must be touching the surface on which the words arewritten. it takes about 1 minute to read one page of text.this spell doesn't decode secret messages in a text or a glyph, such asan arcane sigil, that isn't part of a written language.", 1 hour,1stlevel divination (ritual), self,comprehend languages
48, 1 action," v, s","creatures of your choice that you can see within range and that can hear you must make awisdom saving throw. a target automatically succeeds on this saving throw if it can't be charmed.on a failed save, a target is affected by this spell. until the spell ends, you can use abonus action on each of your turns to designate a direction that is horizontal to you.each affected target must use as much of its movement as possible to move in thatdirection on its next turn. it can take its action before it moves. after moving in this way,it can make another wisdom saving to try to end the effect. a target isn't compelled to moveinto an obviously deadly hazard, such as a fire or pit, but it will provoke opportunity attacksto move in the designated direction."," concentration, up to 1 minute",4thlevel enchantment, 30 feet,compulsion
49, 1 action," v, s, m (a small crystal or glass cone)","a blast of cold air erupts from your hands. each creature in a 60 footref`srdcone` must make a constitution saving throw. a creature takes 8d8 colddamage on a failed save, or half as much damage on a successful one.a creature killed by this spell becomes a frozen statue until it thaws.", instantaneous,5thlevel evocation, self (60 foot ref`srdcone`),one of cold
